title,year,role,name
Days of Wine and Roses (film),1962,star,Charles Bickford
Days of Wine and Roses (film),1962,cast,Jack Albertson
Divorce Italian Style,1961,star,Marcello Mastroianni
Divorce Italian Style,1961,director,Pietro Germi
Cool Hand Luke,1967,star,Paul Newman
Cool Hand Luke,1967,star,George Kennedy
Cool Hand Luke,1967,star,Jo Van Fleet
Cool Hand Luke,1967,cast,Dennis Hopper
Charly,1968,star,Cliff Robertson
Charly,1968,star,Lilia Skala
True Grit (1969 film),1969,star,John Wayne
True Grit (1969 film),1969,star,Robert Duvall
True Grit (1969 film),1969,star,Dennis Hopper
True Grit (1969 film),1969,director,Henry Hathaway
I Never Sang for My Father,1970,star,Melvyn Douglas
I Never Sang for My Father,1970,star,Gene Hackman
I Never Sang for My Father,1970,star,Estelle Parsons
Kotch,1971,star,Walter Matthau
Kotch,1971,director,Jack Lemmon
Kotch,1971,director,Jack Lemmon
A Shock to the System (1990 film),1990,star,Michael Caine
A Shock to the System (1990 film),1990,star,Elizabeth McGovern
A Shock to the System (1990 film),1990,cast,Samuel L. Jackson
Batman Dracula,1964,cast,Sally Kirkland
Sleuth (1972 film),1972,star,Laurence Olivier
Sleuth (1972 film),1972,star,Michael Caine
Sleuth (1972 film),1972,director,Joseph L. Mankiewicz
Ronin (film),1998,star,Robert De Niro
Ronin (film),1998,star,Jonathan Pryce
The Ruling Class (film),1972,star,Peter O'Toole
Julia (1977 film),1977,star,Jane Fonda
Julia (1977 film),1977,star,Vanessa Redgrave
Julia (1977 film),1977,star,Jason Robards
Julia (1977 film),1977,star,Hal Holbrook
Julia (1977 film),1977,star,Maximilian Schell
Julia (1977 film),1977,star,Meryl Streep
Julia (1977 film),1977,director,Fred Zinnemann
Save the Tiger,1973,star,Jack Lemmon
Save the Tiger,1973,star,Jack Gilford
Save the Tiger,1973,director,John G. Avildsen
Last Tango in Paris,1972,star,Marlon Brando
Last Tango in Paris,1972,director,Bernardo Bertolucci
The Last Detail,1973,star,Jack Nicholson
The Last Detail,1973,star,Randy Quaid
The Last Detail,1973,star,Carol Kane
The Last Detail,1973,director,Hal Ashby
Serpico,1973,star,Al Pacino
Serpico,1973,cast,F. Murray Abraham
Serpico,1973,cast,Judd Hirsch
Serpico,1973,director,Sidney Lumet
Harry and Tonto,1974,star,Art Carney
Harry and Tonto,1974,star,Ellen Burstyn
Harry and Tonto,1974,star,Geraldine Fitzgerald
Harry and Tonto,1974,star,Chief Dan George
Harry and Tonto,1974,star,Arthur Hunnicutt
The Man in the Glass Booth,1975,star,Maximilian Schell
The Man in the Glass Booth,1975,director,Arthur Hiller
"Give 'em Hell, Harry!",1975,star,James Whitmore
Seven Beauties,1975,star,Giancarlo Giannini
Seven Beauties,1975,director,Lina Wertmüller
A Special Day,1977,star,Sophia Loren
A Special Day,1977,star,Marcello Mastroianni
Percy (1971 film),1971,star,Denholm Elliott
Heavenly Creatures,1994,star,Kate Winslet
Heavenly Creatures,1994,director,Peter Jackson
The Buddy Holly Story,1978,star,Gary Busey
The China Syndrome,1979,star,Jane Fonda
The China Syndrome,1979,star,Jack Lemmon
The China Syndrome,1979,star,Michael Douglas
Being There,1979,star,Peter Sellers
Being There,1979,star,Shirley MacLaine
Being There,1979,star,Jack Warden
Being There,1979,star,Melvyn Douglas
Being There,1979,director,Hal Ashby
...And Justice for All.,1979,star,Al Pacino
...And Justice for All.,1979,star,Jack Warden
...And Justice for All.,1979,star,Lee Strasberg
...And Justice for All.,1979,cast,Christine Lahti
...And Justice for All.,1979,director,Norman Jewison
The Great Santini,1979,star,Robert Duvall
The Great Santini,1979,star,Michael O'Keefe
The Stunt Man,1980,star,Peter O'Toole
The Stunt Man,1980,star,Barbara Hershey
Arthur (1981 film),1981,star,Dudley Moore
Arthur (1981 film),1981,star,Liza Minnelli
Arthur (1981 film),1981,star,John Gielgud
Arthur (1981 film),1981,cast,Geraldine Fitzgerald
Absence of Malice,1981,star,Paul Newman
Absence of Malice,1981,star,Sally Field
Absence of Malice,1981,cast,Melinda Dillon
Absence of Malice,1981,director,Sydney Pollack
The Adventures of Baron Munchausen,1988,star,Uma Thurman
The Adventures of Baron Munchausen,1988,star,Jonathan Pryce
The Adventures of Baron Munchausen,1988,cast,Robin Williams
The Adventures of Baron Munchausen,1988,cast,Valentina Cortese
Reign of Fire (film),2002,star,Christian Bale
Reign of Fire (film),2002,star,Matthew McConaughey
Hercules (1997 film),1997,star,James Woods
Hercules (1997 film),1997,star,Rip Torn
The Black Stallion (film),1979,star,Teri Garr
The Black Stallion (film),1979,star,Mickey Rooney
Wild River (film),1960,star,Montgomery Clift
Wild River (film),1960,star,Lee Remick
Wild River (film),1960,star,Jo Van Fleet
Wild River (film),1960,cast,Bruce Dern
Wild River (film),1960,director,Elia Kazan
In & Out (film),1997,star,Kevin Kline
In & Out (film),1997,star,Joan Cusack
In & Out (film),1997,star,Matt Dillon
In & Out (film),1997,star,Debbie Reynolds
In & Out (film),1997,cast,June Squibb
In & Out (film),1997,cast,Whoopi Goldberg
In & Out (film),1997,cast,Glenn Close
The World Is Not Enough,1999,star,Judi Dench
Spartacus (film),1960,star,Kirk Douglas
Spartacus (film),1960,star,Laurence Olivier
Spartacus (film),1960,star,Jean Simmons
Spartacus (film),1960,star,Charles Laughton
Spartacus (film),1960,star,Peter Ustinov
Spartacus (film),1960,star,Tony Curtis
Spartacus (film),1960,cast,John Dall
Spartacus (film),1960,cast,Nina Foch
Spartacus (film),1960,director,Stanley Kubrick
A Canterbury Tale,1944,cast,Kim Hunter
A Canterbury Tale,1944,cast,Raymond Massey
Men in Black (1997 film),1997,star,Tommy Lee Jones
Men in Black (1997 film),1997,star,Will Smith
Men in Black (1997 film),1997,star,Rip Torn
Jungle Fever,1991,star,Spike Lee
Jungle Fever,1991,star,Ruby Dee
Jungle Fever,1991,star,Samuel L. Jackson
Jungle Fever,1991,star,Anthony Quinn
Jungle Fever,1991,cast,Halle Berry
Jungle Fever,1991,cast,Tim Robbins
Jungle Fever,1991,cast,Brad Dourif
Jungle Fever,1991,star,Spike Lee
Lady Caroline Lamb (film),1972,star,Sarah Miles
Lady Caroline Lamb (film),1972,star,Laurence Olivier
Lady Caroline Lamb (film),1972,cast,John Mills
Lady Caroline Lamb (film),1972,cast,Margaret Leighton
Lady Caroline Lamb (film),1972,cast,Ralph Richardson
The Usual Suspects,1995,star,Chazz Palminteri
The Usual Suspects,1995,star,Pete Postlethwaite
The Usual Suspects,1995,star,Kevin Spacey
Like Mike,2002,star,Robert Forster
My Favorite Year,1982,star,Peter O'Toole
"Reuben, Reuben",1983,star,Tom Conti
Starman (film),1984,star,Jeff Bridges
Starman (film),1984,star,Richard Jaeckel
Murphy's Romance,1985,star,Sally Field
Murphy's Romance,1985,star,James Garner
Murphy's Romance,1985,director,Martin Ritt
Runaway Train (film),1985,star,Jon Voight
Runaway Train (film),1985,star,Eric Roberts
The Color of Money,1986,star,Paul Newman
The Color of Money,1986,star,Tom Cruise
The Color of Money,1986,star,Mary Elizabeth Mastrantonio
The Color of Money,1986,cast,Forest Whitaker
The Color of Money,1986,director,Martin Scorsese
Round Midnight (film),1986,star,Dexter Gordon
Round Midnight (film),1986,star,Martin Scorsese
Mona Lisa (1986 film),1986,star,Bob Hoskins
Mona Lisa (1986 film),1986,star,Michael Caine
Mona Lisa (1986 film),1986,director,Neil Jordan
Salvador (film),1986,star,James Woods
Salvador (film),1986,director,Oliver Stone
Dark Eyes (1987 film),1987,star,Marcello Mastroianni
"Good Morning, Vietnam",1987,star,Robin Williams
"Good Morning, Vietnam",1987,star,Forest Whitaker
"Good Morning, Vietnam",1987,director,Barry Levinson
Flashdance,1983,cast,Lilia Skala
Flashdance,1983,director,Adrian Lyne
"Truly, Madly, Deeply",1990,director,Anthony Minghella
Billy Elliot,2000,star,Julie Walters
Billy Elliot,2000,director,Stephen Daldry
Friday (1995 film),1995,star,Regina King
Old Enough,1984,star,Danny Aiello
The Dam Busters (film),1955,star,Richard Todd
The Dam Busters (film),1955,star,Michael Redgrave
Forgotten Silver,1995,star,Peter Jackson
Forgotten Silver,1995,star,Peter Jackson
The Hudsucker Proxy,1994,star,Tim Robbins
The Hudsucker Proxy,1994,star,Jennifer Jason Leigh
The Hudsucker Proxy,1994,star,Paul Newman
The Hudsucker Proxy,1994,cast,Charles Durning
Harvey (film),1950,star,James Stewart
Harvey (film),1950,star,Josephine Hull
Harvey (film),1950,cast,Cecil Kellaway
Harvey (film),1950,director,Henry Koster
Pelle the Conqueror,1987,star,Max von Sydow
Henry V (1989 film),1989,star,Kenneth Branagh
Henry V (1989 film),1989,star,Paul Scofield
Henry V (1989 film),1989,star,Ian Holm
Henry V (1989 film),1989,star,Emma Thompson
Henry V (1989 film),1989,star,Judi Dench
Henry V (1989 film),1989,star,Christian Bale
Henry V (1989 film),1989,star,Kenneth Branagh
Reversal of Fortune,1990,star,Glenn Close
Reversal of Fortune,1990,star,Jeremy Irons
Reversal of Fortune,1990,cast,Felicity Huffman
Reversal of Fortune,1990,director,Barbet Schroeder
Cape Fear (1991 film),1991,star,Robert De Niro
Cape Fear (1991 film),1991,star,Nick Nolte
Cape Fear (1991 film),1991,star,Jessica Lange
Cape Fear (1991 film),1991,star,Robert Mitchum
Cape Fear (1991 film),1991,star,Gregory Peck
Cape Fear (1991 film),1991,cast,Juliette Lewis
Cape Fear (1991 film),1991,cast,Martin Balsam
Cape Fear (1991 film),1991,director,Martin Scorsese
Cape Fear (1962 film),1962,star,Robert Mitchum
Cape Fear (1962 film),1962,star,Gregory Peck
Cape Fear (1962 film),1962,star,Martin Balsam
Cape Fear (1962 film),1962,cast,Jack Kruschen
Cape Fear (1962 film),1962,cast,Telly Savalas
Cape Fear (1962 film),1962,director,J. Lee Thompson
Restoration (1995 film),1995,star,Robert Downey Jr.
Restoration (1995 film),1995,star,Ian McKellen
The Fisher King,1991,star,Robin Williams
The Fisher King,1991,star,Jeff Bridges
The Fisher King,1991,star,Mercedes Ruehl
Chaplin (film),1992,star,Robert Downey Jr.
Chaplin (film),1992,star,Dan Aykroyd
Chaplin (film),1992,star,Anthony Hopkins
Chaplin (film),1992,star,Kevin Kline
Chaplin (film),1992,star,Diane Lane
Chaplin (film),1992,star,Marisa Tomei
Chaplin (film),1992,star,James Woods
Chaplin (film),1992,director,Richard Attenborough
What's Love Got to Do with It (film),1993,star,Angela Bassett
What's Love Got to Do with It (film),1993,star,Laurence Fishburne
The Madness of King George,1994,star,Nigel Hawthorne
The Madness of King George,1994,star,Helen Mirren
The Madness of King George,1994,star,Ian Holm
Nobody's Fool (1994 film),1994,star,Paul Newman
Nobody's Fool (1994 film),1994,star,Jessica Tandy
Nobody's Fool (1994 film),1994,star,Melanie Griffith
Nobody's Fool (1994 film),1994,cast,Philip Seymour Hoffman
Nobody's Fool (1994 film),1994,director,Robert Benton
Mr. Holland's Opus,1995,star,Richard Dreyfuss
Mr. Holland's Opus,1995,star,Olympia Dukakis
Mr. Holland's Opus,1995,cast,William H. Macy
Mr. Holland's Opus,1995,cast,Forest Whitaker
Mr. Holland's Opus,1995,cast,Terrence Howard
Nixon (film),1995,star,Anthony Hopkins
Nixon (film),1995,star,Joan Allen
Nixon (film),1995,star,Ed Harris
Nixon (film),1995,star,Bob Hoskins
Nixon (film),1995,star,David Paymer
Nixon (film),1995,star,Mary Steenburgen
Nixon (film),1995,star,James Woods
Nixon (film),1995,cast,Madeline Kahn
Nixon (film),1995,cast,Sam Waterston
Nixon (film),1995,director,Oliver Stone
Sling Blade,1996,star,Billy Bob Thornton
Sling Blade,1996,star,Robert Duvall
Sling Blade,1996,star,Billy Bob Thornton
The People vs. Larry Flynt,1996,star,Woody Harrelson
The People vs. Larry Flynt,1996,star,Edward Norton
The People vs. Larry Flynt,1996,cast,James Cromwell
The Apostle,1997,star,Robert Duvall
The Apostle,1997,star,Billy Bob Thornton
The Apostle,1997,star,Miranda Richardson
The Apostle,1997,star,Robert Duvall
Ulee's Gold,1997,star,Peter Fonda
Gods and Monsters (film),1998,star,Ian McKellen
Gods and Monsters (film),1998,star,Lynn Redgrave
Affliction (1997 film),1997,star,Nick Nolte
Affliction (1997 film),1997,star,Sissy Spacek
Affliction (1997 film),1997,star,James Coburn
Affliction (1997 film),1997,star,Willem Dafoe
American History X,1998,star,Edward Norton
American History X,1998,star,Elliott Gould
The Hurricane (1999 film),1999,star,Denzel Washington
The Hurricane (1999 film),1999,star,David Paymer
The Hurricane (1999 film),1999,star,Rod Steiger
The Hurricane (1999 film),1999,director,Norman Jewison
Sweet and Lowdown,1999,star,Samantha Morton
Sweet and Lowdown,1999,star,Sean Penn
Sweet and Lowdown,1999,star,Uma Thurman
Sweet and Lowdown,1999,director,Woody Allen
Sweet and Lowdown,1999,director,Woody Allen
Pollock (film),2000,star,Ed Harris
Pollock (film),2000,star,Marcia Gay Harden
Pollock (film),2000,star,Jennifer Connelly
Pollock (film),2000,star,Amy Madigan
Pollock (film),2000,star,Ed Harris
Quills,2000,star,Geoffrey Rush
Quills,2000,star,Kate Winslet
Quills,2000,star,Joaquin Phoenix
Quills,2000,star,Michael Caine
Ali (film),2001,star,Will Smith
Ali (film),2001,star,Jamie Foxx
Ali (film),2001,star,Jon Voight
Ali (film),2001,director,Michael Mann
I Am Sam,2001,star,Sean Penn
I Am Sam,2001,star,Michelle Pfeiffer
I Am Sam,2001,star,Dianne Wiest
I Am Sam,2001,star,Laura Dern
I Am Sam,2001,cast,Mary Steenburgen
Small Soldiers,1998,star,Frank Langella
Small Soldiers,1998,star,Tommy Lee Jones
Small Soldiers,1998,cast,George Kennedy
Small Soldiers,1998,cast,Ernest Borgnine
Small Soldiers,1998,cast,Bruce Dern
A Ship Comes In,1928,star,Louise Dresser
Sadie Thompson,1928,star,Gloria Swanson
Sadie Thompson,1928,star,Lionel Barrymore
The Barker,1928,star,Betty Compson
The Letter (1940 film),1940,star,Bette Davis
The Letter (1940 film),1940,star,James Stephenson
The Letter (1940 film),1940,cast,Gale Sondergaard
The Letter (1940 film),1940,cast,Cecil Kellaway
The Letter (1940 film),1940,director,William Wyler
The Letter (1929 film),1929,star,Jeanne Eagels
The Divine Lady,1929,star,Corinne Griffith
The Divine Lady,1929,cast,H. B. Warner
The Divine Lady,1929,cast,Marie Dressler
The Divine Lady,1929,director,Frank Lloyd
Capricorn One,1978,star,Elliott Gould
Capricorn One,1978,star,Brenda Vaccaro
Capricorn One,1978,star,Sam Waterston
Capricorn One,1978,star,Hal Holbrook
Capricorn One,1978,star,Karen Black
Capricorn One,1978,star,Telly Savalas
Cobra (1986 film),1986,star,Sylvester Stallone
Kangaroo Jack,2003,star,Michael Shannon
Kangaroo Jack,2003,star,Christopher Walken
Kangaroo Jack,2003,cast,Dyan Cannon
The Big Red One,1980,star,Lee Marvin
The Lord of the Rings: The Fellowship of the Ring,2001,star,Ian McKellen
The Lord of the Rings: The Fellowship of the Ring,2001,star,Viggo Mortensen
The Lord of the Rings: The Fellowship of the Ring,2001,star,Cate Blanchett
The Lord of the Rings: The Fellowship of the Ring,2001,star,Ian Holm
The Lord of the Rings: The Fellowship of the Ring,2001,director,Peter Jackson
The Lord of the Rings: The Fellowship of the Ring,2001,director,Peter Jackson
The Lord of the Rings: The Two Towers,2002,star,Ian McKellen
The Lord of the Rings: The Two Towers,2002,star,Viggo Mortensen
The Lord of the Rings: The Two Towers,2002,star,Cate Blanchett
The Lord of the Rings: The Two Towers,2002,star,Brad Dourif
The Lord of the Rings: The Two Towers,2002,director,Peter Jackson
The Lord of the Rings: The Return of the King,2003,star,Ian McKellen
The Lord of the Rings: The Return of the King,2003,star,Viggo Mortensen
The Lord of the Rings: The Return of the King,2003,star,Cate Blanchett
The Lord of the Rings: The Return of the King,2003,star,Ian Holm
The Lord of the Rings: The Return of the King,2003,cast,Brad Dourif
The Lord of the Rings: The Return of the King,2003,director,Peter Jackson
Oh! What a Lovely War,1969,star,Maggie Smith
Oh! What a Lovely War,1969,star,John Gielgud
Oh! What a Lovely War,1969,star,Laurence Olivier
Oh! What a Lovely War,1969,star,Michael Redgrave
Oh! What a Lovely War,1969,star,Vanessa Redgrave
Oh! What a Lovely War,1969,star,Ralph Richardson
Oh! What a Lovely War,1969,star,Susannah York
Oh! What a Lovely War,1969,star,John Mills
Oh! What a Lovely War,1969,cast,Ian Holm
Oh! What a Lovely War,1969,director,Richard Attenborough
Willy Wonka & the Chocolate Factory,1971,star,Gene Wilder
Willy Wonka & the Chocolate Factory,1971,star,Jack Albertson
The Devil's Holiday,1930,star,Nancy Carroll
The Devil's Holiday,1930,cast,Paul Lukas
Sarah and Son,1930,star,Ruth Chatterton
Sarah and Son,1930,star,Fredric March
Get Carter,1971,star,Michael Caine
Joe Versus the Volcano,1990,star,Tom Hanks
Joe Versus the Volcano,1990,star,Robert Stack
The Seventh Seal,1957,star,Max von Sydow
The Seventh Seal,1957,director,Ingmar Bergman
Whale Rider,2002,star,Keisha Castle-Hughes
Romance (1930 film),1930,star,Greta Garbo
Romance (1930 film),1930,star,Lewis Stone
Romance (1930 film),1930,director,Clarence Brown
Their Own Desire,1929,star,Norma Shearer
Their Own Desire,1929,star,Lewis Stone
The Trespasser (1929 film),1929,star,Gloria Swanson
A Patch of Blue,1965,star,Sidney Poitier
A Patch of Blue,1965,star,Shelley Winters
A Patch of Blue,1965,star,Elizabeth Hartman
Min and Bill,1930,star,Marie Dressler
Min and Bill,1930,star,Wallace Beery
Min and Bill,1930,cast,Marjorie Rambeau
Holiday (1930 film),1930,star,Ann Harding
Holiday (1930 film),1930,star,Mary Astor
The Sin of Madelon Claudet,1931,star,Helen Hayes
The Sin of Madelon Claudet,1931,star,Lewis Stone
Morning Glory (1933 film),1933,star,Katharine Hepburn
Morning Glory (1933 film),1933,star,Adolphe Menjou
Dangerous (film),1935,star,Bette Davis
Dangerous (film),1935,star,Franchot Tone
Private Worlds,1935,star,Claudette Colbert
Private Worlds,1935,star,Charles Boyer
Private Worlds,1935,director,Gregory La Cava
Becky Sharp (film),1935,star,Miriam Hopkins
Becky Sharp (film),1935,cast,Billie Burke
The Dark Angel (1935 film),1935,star,Fredric March
The Dark Angel (1935 film),1935,star,Merle Oberon
Labyrinth (1986 film),1986,star,Jennifer Connelly
Human Nature (2001 film),2001,star,Tim Robbins
Human Nature (2001 film),2001,star,Patricia Arquette
Human Nature (2001 film),2001,star,Rosie Perez
Human Nature (2001 film),2001,cast,Robert Forster
101 Dalmatians (1996 film),1996,star,Glenn Close
101 Dalmatians (1996 film),1996,star,Joan Plowright
Top Gun,1986,star,Tom Cruise
Top Gun,1986,cast,Tim Robbins
Sanjuro,1962,director,Akira Kurosawa
Theodora Goes Wild,1936,star,Irene Dunne
Theodora Goes Wild,1936,star,Melvyn Douglas
Theodora Goes Wild,1936,cast,Spring Byington
Valiant Is the Word for Carrie,1936,star,Gladys George
Valiant Is the Word for Carrie,1936,cast,Hattie McDaniel
Valiant Is the Word for Carrie,1936,director,Wesley Ruggles
White Banners,1938,star,Claude Rains
